Tue 10 Sep 2024, 10:47PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
15.771, 44, Clicked: RED, x=279,  y=586,  DARK_RED: x=295,  y=599,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=45,  score=45, ORANGE: x=1739,  y=556,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1331,  y=805,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
15.92, 45, Clicked: RED, x=292,  y=568,  DARK_RED: x=301,  y=582,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=46,  score=46, ORANGE: x=1752,  y=544,  dx=0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1315,  y=796,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
16.271, 46, Clicked: RED, x=324,  y=513,  DARK_RED: x=314,  y=542,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=47,  score=47, ORANGE: x=1736,  y=515,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1279,  y=774,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
16.565, 47, Clicked: RED, x=338,  y=473,  DARK_RED: x=326,  y=508,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=48,  score=48, ORANGE: x=1710,  y=490,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1249,  y=756,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
16.745, 48, Clicked: RED, x=345,  y=453,  DARK_RED: x=333,  y=487,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=49,  score=49, ORANGE: x=1694,  y=475,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1230,  y=744,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
17.021, 49, Clicked: RED, x=346,  y=424,  DARK_RED: x=344,  y=455,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=50,  score=50, ORANGE: x=1669,  y=452,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1201,  y=727,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
17.251, 50, Clicked: RED, x=356,  y=387,  DARK_RED: x=353,  y=429,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=51,  score=51, ORANGE: x=1649,  y=433,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1177,  y=713,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
17.578, 51, Clicked: RED, x=359,  y=354,  DARK_RED: x=365,  y=391,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=52,  score=52, ORANGE: x=1620,  y=405,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1142,  y=692,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
18.124, 52, Clicked: RED, x=364,  y=295,  DARK_RED: x=386,  y=328,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=53,  score=53, ORANGE: x=1572,  y=360,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1086,  y=658,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
18.711, 53, Clicked: RED, x=423,  y=217,  DARK_RED: x=410,  y=260,  dx=0.03197006494777562,  dy=-0.09475185986161438,  clicks=54,  score=54, ORANGE: x=1519,  y=311,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=1024,  y=621,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
19.663, 54, Clicked: RED, x=455,  y=143,  DARK_RED: x=447,  y=167,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=55,  score=55, ORANGE: x=1435,  y=231,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=924,  y=561,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
20.012, 55, Clicked: RED, x=462,  y=204,  DARK_RED: x=460,  y=207,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=56,  score=56, ORANGE: x=1404,  y=202,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=888,  y=540,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
20.177, 56, Clicked: RED, x=466,  y=243,  DARK_RED: x=466,  y=226,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=57,  score=57, ORANGE: x=1390,  y=189,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=871,  y=529,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
20.344, 57, Clicked: RED, x=470,  y=274,  DARK_RED: x=473,  y=245,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=58,  score=58, ORANGE: x=1375,  y=175,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=854,  y=519,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
20.477, 58, Clicked: RED, x=470,  y=280,  DARK_RED: x=478,  y=260,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=59,  score=59, ORANGE: x=1364,  y=164,  dx=-0.07279141630349066,  dy=-0.06856682661850345,  clicks=0,  score=0, YELLOW: x=840,  y=511,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
20.888, 59, Clicked: RED, x=472,  y=313,  DARK_RED: x=494,  y=307,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=60,  score=60, ORANGE: x=1327,  y=188,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=798,  y=485,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
21.117, 60, Clicked: RED, x=483,  y=346,  DARK_RED: x=503,  y=334,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=61,  score=61, ORANGE: x=1307,  y=207,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=774,  y=471,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
21.231, 61, Clicked: RED, x=484,  y=348,  DARK_RED: x=507,  y=347,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=62,  score=62, ORANGE: x=1297,  y=217,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=762,  y=463,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
21.362, 62, Clicked: RED, x=490,  y=369,  DARK_RED: x=512,  y=362,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=63,  score=63, ORANGE: x=1285,  y=228,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=748,  y=455,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
21.758, 63, Clicked: RED, x=511,  y=419,  DARK_RED: x=528,  y=408,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=64,  score=64, ORANGE: x=1250,  y=261,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=707,  y=430,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
21.975, 64, Clicked: RED, x=519,  y=443,  DARK_RED: x=536,  y=432,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=65,  score=65, ORANGE: x=1231,  y=279,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=684,  y=417,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
22.271, 65, Clicked: RED, x=526,  y=484,  DARK_RED: x=548,  y=466,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=66,  score=66, ORANGE: x=1205,  y=303,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=654,  y=399,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
22.68, 66, Clicked: RED, x=545,  y=525,  DARK_RED: x=564,  y=514,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=67,  score=67, ORANGE: x=1168,  y=338,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=611,  y=373,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
23.599, 67, Clicked: RED, x=601,  y=645,  DARK_RED: x=599,  y=620,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=68,  score=68, ORANGE: x=1087,  y=415,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=515,  y=315,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
23.929, 68, Clicked: RED, x=602,  y=645,  DARK_RED: x=612,  y=658,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=69,  score=69, ORANGE: x=1058,  y=442,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=480,  y=295,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
24.288, 69, Clicked: None, x=602, y=645,  RED: x=626,  y=700,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=69,  score=69, ORANGE: x=1026,  y=472,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=443,  y=272,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
24.651, 69, Clicked: RED, x=653,  y=733,  DARK_RED: x=640,  y=741,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=70,  score=70, ORANGE: x=994,  y=502,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=405,  y=249,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
24.834, 70, Clicked: RED, x=666,  y=769,  DARK_RED: x=647,  y=762,  dx=0.03197006494777562,  dy=0.09475185986161438,  clicks=71,  score=71, ORANGE: x=978,  y=517,  dx=-0.07279141630349066,  dy=0.06856682661850345,  clicks=0,  score=0, YELLOW: x=386,  y=238,  dx=-0.08573401683202332,  dy=-0.051475026545368036,  clicks=0,  score=0,
