Sun 08 Sep 2024, 04:56PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
10.594, 20, Clicked: ORANGE, x=1175,  y=258,  RED: x=384,  y=526,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1213,  y=240,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=9,  score=7, YELLOW: x=1571,  y=256,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
10.692, 21, Clicked: ORANGE, x=1186,  y=260,  RED: x=394,  y=534,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1221,  y=247,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=10,  score=8, YELLOW: x=1583,  y=251,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
10.825, 22, Clicked: ORANGE, x=1188,  y=262,  RED: x=406,  y=544,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1232,  y=256,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=11,  score=9, YELLOW: x=1599,  y=243,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
10.94, 23, Clicked: ORANGE, x=1213,  y=279,  RED: x=416,  y=553,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1241,  y=265,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=12,  score=10, YELLOW: x=1612,  y=237,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
11.055, 24, Clicked: ORANGE, x=1243,  y=292,  RED: x=427,  y=563,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1251,  y=273,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=13,  score=11, YELLOW: x=1626,  y=230,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
11.169, 25, Clicked: ORANGE, x=1261,  y=305,  RED: x=438,  y=572,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1260,  y=281,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=14,  score=12, YELLOW: x=1640,  y=224,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
11.298, 26, Clicked: ORANGE, x=1273,  y=312,  RED: x=450,  y=582,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1271,  y=290,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=15,  score=13, YELLOW: x=1656,  y=216,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
11.412, 27, Clicked: ORANGE, x=1276,  y=314,  RED: x=460,  y=591,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1280,  y=299,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=16,  score=14, YELLOW: x=1670,  y=210,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
12.149, 28, Clicked: ORANGE, x=1297,  y=320,  RED: x=529,  y=650,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1341,  y=351,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=17,  score=15, YELLOW: x=1759,  y=168,  dx=0.09934863577095066,  dy=-0.046298943876833004,  clicks=1,  score=0,
12.687, 29, Clicked: ORANGE, x=1347,  y=361,  RED: x=579,  y=693,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1386,  y=390,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=18,  score=16, YELLOW: x=1696,  y=181,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
13.323, 30, Clicked: ORANGE, x=1394,  y=418,  RED: x=638,  y=743,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1439,  y=435,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=19,  score=17, YELLOW: x=1618,  y=217,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
13.8, 31, Clicked: ORANGE, x=1441,  y=488,  RED: x=682,  y=781,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1478,  y=469,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=20,  score=18, YELLOW: x=1561,  y=244,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
14.259, 32, Clicked: ORANGE, x=1485,  y=537,  RED: x=725,  y=817,  dx=0.07598817132224117,  dy=0.0650061367803204,  clicks=31,  score=14, DARK_ORANGE: x=1516,  y=502,  dx=0.06761781463829683,  dy=0.05843019347804512,  clicks=21,  score=19, YELLOW: x=1505,  y=270,  dx=-0.09934863577095066,  dy=0.046298943876833004,  clicks=1,  score=0,
