Sun 08 Sep 2024, 04:47PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
9.375, 17, Clicked: RED, x=459,  y=657,  DARK_RED: x=463,  y=688,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=20,  score=0, ORANGE: x=630,  y=566,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=457,  y=178,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
9.49, 17, Clicked: RED, x=468,  y=662,  DARK_RED: x=472,  y=705,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=21,  score=0, ORANGE: x=635,  y=556,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=459,  y=187,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
9.605, 17, Clicked: RED, x=506,  y=689,  DARK_RED: x=481,  y=723,  dx=0.06401335170604448,  dy=0.12292950937019215,  clicks=22,  score=0, ORANGE: x=640,  y=546,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=461,  y=196,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
9.719, 17, Clicked: RED, x=506,  y=689,  DARK_RED: x=490,  y=740,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=23,  score=0, ORANGE: x=644,  y=535,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=463,  y=205,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
9.851, 17, Clicked: RED, x=506,  y=690,  DARK_RED: x=500,  y=720,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=24,  score=0, ORANGE: x=650,  y=524,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=465,  y=215,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
10.0, 17, Clicked: RED, x=506,  y=693,  DARK_RED: x=512,  y=698,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=25,  score=0, ORANGE: x=657,  y=510,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=468,  y=226,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
10.08, 17, Clicked: RED, x=512,  y=682,  DARK_RED: x=518,  y=685,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=26,  score=0, ORANGE: x=660,  y=503,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=470,  y=232,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
10.212, 17, Clicked: RED, x=513,  y=676,  DARK_RED: x=528,  y=666,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=27,  score=0, ORANGE: x=666,  y=491,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=472,  y=242,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
10.462, 17, Clicked: RED, x=551,  y=635,  DARK_RED: x=547,  y=629,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=28,  score=0, ORANGE: x=676,  y=469,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=476,  y=261,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
10.673, 17, Clicked: RED, x=562,  y=614,  DARK_RED: x=564,  y=597,  dx=0.06401335170604448,  dy=-0.12292950937019215,  clicks=29,  score=0, ORANGE: x=686,  y=450,  dx=0.035497113081712085,  dy=-0.07341977287092102,  clicks=0,  score=0, YELLOW: x=480,  y=277,  dx=0.014692832918834414,  dy=0.06264374753020312,  clicks=17,  score=17,
