Sun 08 Sep 2024, 11:42PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
11.355, 29, Clicked: RED, x=761,  y=216,  DARK_RED: x=753,  y=182,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=13,  score=7, ORANGE: x=372,  y=444,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=600,  y=706,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
11.504, 29, Clicked: RED, x=766,  y=215,  DARK_RED: x=771,  y=182,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=14,  score=7, ORANGE: x=390,  y=443,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=582,  y=706,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
11.789, 29, Clicked: RED, x=836,  y=200,  DARK_RED: x=805,  y=184,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=15,  score=7, ORANGE: x=424,  y=439,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=548,  y=708,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
11.941, 29, Clicked: RED, x=867,  y=195,  DARK_RED: x=823,  y=185,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=16,  score=7, ORANGE: x=442,  y=437,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=530,  y=708,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
12.09, 29, Clicked: RED, x=870,  y=195,  DARK_RED: x=841,  y=185,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=17,  score=7, ORANGE: x=460,  y=435,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=512,  y=709,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
12.222, 29, Clicked: RED, x=873,  y=195,  DARK_RED: x=857,  y=186,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=18,  score=7, ORANGE: x=476,  y=433,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=496,  y=709,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
12.384, 29, Clicked: RED, x=873,  y=195,  DARK_RED: x=877,  y=187,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=19,  score=7, ORANGE: x=496,  y=431,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=476,  y=710,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
12.598, 29, Clicked: RED, x=924,  y=205,  DARK_RED: x=903,  y=188,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=20,  score=7, ORANGE: x=521,  y=428,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=450,  y=711,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
12.713, 29, Clicked: RED, x=951,  y=210,  DARK_RED: x=917,  y=189,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=21,  score=7, ORANGE: x=535,  y=427,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=436,  y=711,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
12.843, 29, Clicked: RED, x=951,  y=210,  DARK_RED: x=933,  y=189,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=22,  score=7, ORANGE: x=551,  y=425,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=420,  y=712,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
13.008, 29, Clicked: RED, x=951,  y=210,  DARK_RED: x=953,  y=190,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=23,  score=7, ORANGE: x=571,  y=423,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=400,  y=712,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
13.123, 29, Clicked: RED, x=960,  y=208,  DARK_RED: x=967,  y=191,  dx=0.09990668998678416,  dy=0.004318946154399353,  clicks=24,  score=7, ORANGE: x=585,  y=422,  dx=0.0994301897578629,  dy=-0.010660082772444868,  clicks=0,  score=0, YELLOW: x=386,  y=713,  dx=-0.09994765692823611,  dy=0.0032351003934370107,  clicks=28,  score=22,
