Tue 10 Sep 2024, 11:05PM
################# Phase 1 ######################
################# INIT balls ######################
0, Init stimuli, 0, 
################# INIT balls ######################
6.096, Init stimuli, 0, 
6.096, 0, Clicked: Shuffle, x=1812, y=39,  RED: x=732,  y=347,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=1749,  y=1013,  dx=-0.05708939656470226,  dy=-0.0821023799891219,  clicks=0,  score=0, YELLOW: x=70,  y=531,  dx=-0.02778815621387794,  dy=0.09606153431125863,  clicks=0,  score=0,
23.682, 25, Clicked: None, x=561, y=631, Clicked: ORANGE, x=561,  y=631, Clicked: None, x=561, y=631,  RED: x=1711,  y=301,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=582,  y=653,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=20,  score=10, YELLOW: x=703,  y=560,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
23.815, 26, Clicked: None, x=561, y=629, Clicked: ORANGE, x=561,  y=629, Clicked: None, x=561, y=629,  RED: x=1727,  y=300,  dx=0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=576,  y=637,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=21,  score=11, YELLOW: x=704,  y=546,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
24.197, 27, Clicked: None, x=549, y=594, Clicked: ORANGE, x=549,  y=594, Clicked: None, x=549, y=594,  RED: x=1748,  y=299,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=558,  y=589,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=22,  score=12, YELLOW: x=709,  y=505,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
24.315, 28, Clicked: None, x=545, y=585, Clicked: ORANGE, x=545,  y=585, Clicked: None, x=545, y=585,  RED: x=1734,  y=299,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, DARK_ORANGE: x=553,  y=575,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, YELLOW: x=710,  y=493,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=16,  score=16,
24.746, 29, Clicked: None, x=720, y=453, Clicked: None, x=720, y=453, Clicked: YELLOW, x=720,  y=453,  RED: x=1682,  y=298,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=532,  y=522,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=716,  y=447,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=17,  score=16,
25.125, 29, Clicked: None, x=719, y=373, Clicked: None, x=719, y=373, Clicked: YELLOW, x=719,  y=373,  RED: x=1636,  y=297,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=514,  y=475,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=720,  y=406,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=18,  score=16,
25.276, 29, Clicked: None, x=719, y=369, Clicked: None, x=719, y=369, Clicked: YELLOW, x=719,  y=369,  RED: x=1618,  y=296,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=507,  y=456,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=722,  y=390,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=19,  score=16,
25.654, 29, Clicked: None, x=740, y=324, Clicked: None, x=740, y=324, Clicked: YELLOW, x=740,  y=324,  RED: x=1572,  y=295,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=489,  y=409,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=727,  y=349,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=20,  score=16,
25.803, 29, Clicked: None, x=740, y=320, Clicked: None, x=740, y=320, Clicked: YELLOW, x=740,  y=320,  RED: x=1554,  y=295,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=482,  y=391,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=728,  y=333,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=21,  score=17,
26.03, 30, Clicked: None, x=743, y=257, Clicked: None, x=743, y=257, Clicked: YELLOW, x=743,  y=257,  RED: x=1526,  y=294,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=471,  y=362,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=731,  y=308,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=22,  score=18,
26.246, 31, Clicked: None, x=743, y=247, Clicked: None, x=743, y=247, Clicked: YELLOW, x=743,  y=247,  RED: x=1500,  y=294,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=460,  y=335,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=734,  y=285,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=23,  score=19,
26.56, 32, Clicked: None, x=743, y=230, Clicked: None, x=743, y=230, Clicked: YELLOW, x=743,  y=230,  RED: x=1462,  y=293,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=445,  y=296,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=738,  y=252,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=24,  score=20,
26.676, 33, Clicked: None, x=743, y=223, Clicked: None, x=743, y=223, Clicked: YELLOW, x=743,  y=223,  RED: x=1448,  y=293,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=440,  y=282,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=739,  y=239,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=25,  score=21,
26.977, 34, Clicked: None, x=743, y=207, Clicked: None, x=743, y=207, Clicked: YELLOW, x=743,  y=207,  RED: x=1412,  y=292,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=426,  y=245,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=743,  y=207,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=26,  score=22,
27.175, 35, Clicked: None, x=744, y=177, Clicked: None, x=744, y=177, Clicked: YELLOW, x=744,  y=177,  RED: x=1388,  y=291,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=416,  y=220,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=745,  y=186,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=27,  score=23,
27.309, 36, Clicked: None, x=746, y=168, Clicked: None, x=746, y=168, Clicked: YELLOW, x=746,  y=168,  RED: x=1372,  y=291,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=410,  y=204,  dx=-0.03938511474192757,  dy=-0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=747,  y=172,  dx=0.01008387439110325,  dy=-0.08854450152942478,  clicks=28,  score=24,
27.984, 37, Clicked: None, x=742, y=222, Clicked: None, x=742, y=222, Clicked: YELLOW, x=742,  y=222,  RED: x=1290,  y=289,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=378,  y=198,  dx=-0.03938511474192757,  dy=0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=755,  y=218,  dx=0.01008387439110325,  dy=0.08854450152942478,  clicks=29,  score=25,
28.133, 38, Clicked: None, x=740, y=239, Clicked: None, x=740, y=239, Clicked: YELLOW, x=740,  y=239,  RED: x=1272,  y=289,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=371,  y=217,  dx=-0.03938511474192757,  dy=0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=757,  y=234,  dx=0.01008387439110325,  dy=0.08854450152942478,  clicks=30,  score=26,
28.285, 39, Clicked: None, x=742, y=254, Clicked: None, x=742, y=254, Clicked: YELLOW, x=742,  y=254,  RED: x=1254,  y=288,  dx=-0.09997609598745309,  dy=-0.002186373963339132,  clicks=0,  score=0, ORANGE: x=363,  y=235,  dx=-0.03938511474192757,  dy=0.10250365585156151,  clicks=23,  score=13, DARK_YELLOW: x=759,  y=250,  dx=0.01008387439110325,  dy=0.08854450152942478,  clicks=31,  score=27,
